simu_idx,session_idx,T1,T2
12,5,0.016978063941227212,1.4952250657617738
12,6,0.029618573644237457,1.432988185754684
12,7,0.07531206144192448,1.4658708439078376
12,8,0.20738600489338221,1.0888333408735957
12,9,0.0720736924270457,1.5568135727900831
13,0,0.1762386800480026,1.3186278225512764
13,1,0.06542593338827882,1.541264957528668
13,2,0.07469540539537226,1.467688965012782
13,3,0.2379771897318093,1.155617183525786
13,4,0.3045074541361204,0.9997401114607589
13,5,0.054986393348582734,1.8043426711705628
13,6,0.18872264288191426,1.1219796506976725
13,7,0.07442820937892554,1.5635621166641451
13,8,0.1742230230159174,1.3397744371425153
13,9,0.035869479281050116,1.5797955727684705
14,0,0.20318567098480583,1.8870903703554105
14,1,0.21897442320638327,1.660503880625323
14,2,0.2000987064319388,1.7963795012723651
14,3,0.08048172409324024,1.512349190214303
14,4,0.07806372026930707,1.4963574305326257
14,5,0.01834961600470424,2.2441853673382073
14,6,0.049441648290833855,1.5374901479449918
14,7,0.07794010528091067,1.5364118133237121
14,8,0.026817288886422076,1.5629544140046128
14,9,0.015017863314788764,1.6892113452813693
15,0,0.05208003461578607,1.56462198981761
15,1,0.08094580285207341,1.3491146859518162
15,2,0.016746764394734843,1.5328175978240037
15,3,0.12052707573027298,1.2503278579784514
15,4,0.31983102676673986,0.8917062739923328
15,5,0.2777469306493762,1.1686052212154623
15,6,0.31965768281590334,0.8892464684459307
15,7,0.22671995563780672,1.0812241963397689
15,8,0.1144054307878183,1.3858155869342512
15,9,0.15910071135663917,1.106375068241597
16,0,0.3024141578213565,1.1511563482788099
16,1,0.15813812547639144,1.284564990125665
16,2,0.20429517681689036,1.117936789520373
16,3,0.18411110498678965,1.3419549036607197
16,4,0.3391722910638343,1.1226828789508259
16,5,0.12158986199002754,1.5016205120611528
16,6,0.24887371447844076,1.0297883903280158
16,7,0.3064075796905595,1.183325456953895
16,8,0.13743192069462812,1.4382678537852294
16,9,0.09251156176872805,1.521568072607869
17,0,0.12030618199347501,1.5085132085534996
17,1,0.01465588339003682,1.5028834612329032
17,2,0.11979179965004023,1.551084373965186
17,3,0.13205914400524046,1.5148104029682687
17,4,0.12749855852896871,1.545227363055631
17,5,0.12384033170999131,1.515571692715506
17,6,0.12846528713009503,1.5683782036063185
17,7,0.30023228198148444,1.1092136179966239
17,8,0.2576708219625944,1.1148875804984515
17,9,0.03700894011503994,1.53944082499497
18,0,0.14210661401359637,1.2401001337739557
18,1,0.1420459654894679,1.4287669839184334
18,2,0.12096556773066404,1.4397723020695865
18,3,0.15729335292892666,1.228143895490858
18,4,0.11342463729220684,1.464531916999695
18,5,0.1099053318800302,1.6756956801940504
18,6,0.10955528982519054,1.4342088077984732
18,7,0.0772664155358354,1.4250357152825515
18,8,0.2442130997488457,12.029073412089854
18,9,0.14299609871939423,1.2450463290984033
19,0,0.30107530785016395,0.9346761124632382
19,1,0.036348800839629485,1.4177752009740638
19,2,0.25172714355187087,1.0714239939185832
19,3,0.04917525597085315,1.539440426052123
19,4,0.21923573285841236,1.0806272476463181
19,5,0.1818750742030327,1.0820001070693326
19,6,0.06660224842745188,1.452530235581138
19,7,0.1193631712643875,1.228446025601591
19,8,0.3289221922851701,1.0058901823173816
19,9,0.1115313845697658,1.5727829427307598
20,0,0.18202966192431524,1.1340005290610229
20,1,0.059800393492787186,1.5706114010205074
20,2,0.18697641862136413,1.1175017235867748
20,3,0.03756930022822414,1.5051917201610405
20,4,0.09110357275214626,1.4755097157799852
20,5,0.1882511835985131,1.1025681939506313
20,6,0.18988266672781393,1.1107394433256221
20,7,0.18878413532177862,1.1163702967462508
20,8,0.1853348935946172,1.1250506133142306
20,9,0.1819082864797026,1.1151302889535315
21,0,0.26273536502449624,1.1681301341360364
21,1,0.08722564816093945,1.4627920790245843
21,2,0.050863600125291966,1.5407486839040077
21,3,0.03266645959878659,1.5252919361447776
21,4,0.27360547558109616,1.0145902497843404
21,5,0.19340517512218022,1.2190937349323776
21,6,0.19060231979186548,1.1974463006179996
21,7,0.03036549094295402,1.5235505811313335
21,8,0.25207209613456844,1.046045950560959
21,9,0.14406489634212719,1.3772145831826277
22,0,0.038540298984273476,1.644928825698083
22,1,0.1354948962685797,1.8667168874905946
22,2,0.2676830073546905,1.2518423062764987
22,3,0.46590092754914725,2.84484973612406
22,4,0.027017980277148974,1.5412502119594518
22,5,0.2795846086269389,1.0187757437282068
22,6,0.1417649746365473,1.8085562361496919
