simu_idx,session_idx,delta1,delta2,hrate,nu_p
19,6,10.395147669450303,24.70340913032544,0.003571190566802885,3.3274054767437486
19,7,10.413763406742298,24.762970009903373,0.0034196984724029953,3.349545173281764
19,8,10.423945781378197,24.798108665508746,0.003281428491674812,3.351861278719065
19,9,10.432830340288252,24.635803988786684,0.0032569363039521037,3.3050341656116426
20,0,5.871035086034978,15.8010727978852,0.008772871316659079,4.999965732906555
20,1,6.792831609929551,20.77775403370529,0.004058268438200069,4.99996439468151
20,2,5.361713878070439,18.063408608849947,0.005892041015963759,4.999963963546112
20,3,6.953025056232416,28.83155539262615,0.002802182825735111,4.999939460920189
20,4,5.652668603955964,13.004483615863878,0.009882792706339858,4.999965686130016
20,5,7.6123689433124895,26.915918130582156,0.0025765731508628773,4.999999470277906
20,6,7.110646331153837,26.411125316604135,0.002786703017948319,4.999955799888947
20,7,7.291166012982165,26.549876825490845,0.0026411456921382618,4.999950715787269
20,8,8.582459350903274,29.547158497244126,0.0018419349634855634,4.999999999998326
20,9,6.831191480244625,23.511732304433362,0.003178060932550262,4.99996598154992
21,0,7.114723056629986,22.041020460839018,6.50836534410969e-05,4.999975687655854
21,1,6.511768452265643,14.188594388553229,2.4362135562014265e-09,4.999955582648066
21,2,5.670527469177893,14.391003752716076,7.970055330252957e-15,4.999955305333772
21,3,7.193684534009565,7.429360083033422,4.235653697743613e-08,4.9999316004750325
21,4,6.611102916427978,14.372085360945267,8.451507317255336e-18,4.999956529963585
21,5,6.657788353283748,14.831670012400988,5.841247542096265e-18,4.999943824684251
21,6,7.364736763639506,4.992076566078065,2.5085413358065767e-07,4.999934059696343
21,7,5.6973502177986175,13.874980627927119,2.0097554867019807e-09,4.999955304603363
21,8,6.676271461213287,9.637362413528935,1.283190447942045e-15,4.99996351454086
21,9,6.596319445143013,14.500509254315165,1.355279212633979e-09,4.999951479833067
22,0,7.013753084249559,15.50005224082201,2.162436312195182e-13,4.999955304647004
22,1,6.61224009906864,17.778057972717427,6.610696135189607e-05,4.999933553703739
22,2,6.856872759140126,20.26407966563795,6.610696135189607e-05,4.9999553046504905
22,3,7.036349714283046,15.568921781352575,2.6595920789240816e-13,4.999955304650503
22,4,6.725958301960563,18.79438776915135,6.610696135189607e-05,4.999965333932352
22,5,8.014988737846112,26.199549344653565,7.498001988991051e-11,4.999956390903664
22,6,7.991954980746332,23.843521710261832,1.627434204207638e-09,4.999955222213284
22,7,7.950146791417925,25.61354224606087,1.031668617444179e-09,4.999956102430521
22,8,7.108734712910054,21.80122687583515,6.610696135189607e-05,4.999955287144556
22,9,7.662440642015146,26.046734116815443,5.088759616110072e-05,4.999955279021196
23,0,6.666033273447566,14.708962284181869,1.4185984914663221e-15,4.999969530465696
23,1,7.675712533981258,24.97737381808285,1.475658990564608e-09,4.99994343055635
23,2,6.842539902999652,15.679307599216637,6.097287188019557e-08,4.999946552160222
23,3,7.4541896190302985,25.877925453951743,6.610696135189607e-05,4.9999617052657745
23,4,7.449587669762897,24.694139377289947,6.610696135189607e-05,4.999951214544175
23,5,7.318655950404355,23.83794713021977,6.611553736315582e-05,4.999946002075925
23,6,6.456399295211968,12.09176114376284,0.004977685402063743,4.999935230310551
23,7,7.326723984396965,11.492449418428961,1.2123858918549842e-15,4.999940864677967
23,8,6.027293883613724,13.205994268953168,0.004063560519511154,4.999936240597135
23,9,6.701484036606141,11.993818558166822,3.040758597368656e-07,4.999944099965956
24,0,7.12809362045298,19.825372131422288,2.0028220397125836e-09,4.999955309088664
