subject_idx,lamda,omega,v0
3,0.999999998381716,0.07363697048494373,0.6935283725677585
3,0.9999939128875575,0.0731636756562258,0.9999999983307587
4,0.9999341313307336,0.0808536326969143,2.432608397148219e-09
4,0.9999999983307587,0.07540152530893583,6.48788900932734e-05
4,0.9999999980976255,0.07402825410273015,2.8720141961355712e-05
4,0.9999338930386481,0.07768412571026566,6.610696135189609e-05
4,0.9999999980085025,0.0725893920567688,3.682184033756019e-05
4,0.9999359031176134,0.07895486924631981,1.6692412543081302e-09
4,0.9999389449777526,0.07428770856441146,2.700889084879623e-09
4,0.9999349194602992,0.07345986713086264,1.6692412543081302e-09
4,0.9999338930386481,0.0654501280496105,6.610696135189609e-05
4,0.9999338930386481,0.07558646485758681,6.610696135189609e-05
5,0.9999999982612107,0.0991738327975476,0.9999531575800478
5,0.9999999981619793,0.0956474998955733,0.9999484424141631
5,0.9999869393745411,0.09881266663956721,0.9999999973142243
5,0.9999999982925425,0.0949283347539746,0.9999379658043064
5,0.9999999993957362,0.09996746914284027,0.9999570956878272
5,0.999999996207087,0.10382785885188107,0.9999376941611675
5,0.9554075971005678,0.0937937985781598,0.9999999972991109
5,0.9999999995869846,0.09694826337823625,0.9999747481692673
5,0.9999999976591653,0.0980987956248982,0.9999645738811609
5,0.999940218017863,0.10048724307465258,0.999999997370175
6,0.7240944838325694,0.1138920728190364,0.9999999999999772
6,0.6648815995578267,0.10330402659143186,0.9999999999999849
6,0.5609869186440263,0.10131084865413781,0.9999999961675703
6,0.6459852102204059,0.09892176894178167,0.9999342191233649
6,0.6441979306837632,0.11256428120665633,0.9999338930386481
6,0.6632475691527767,0.10553445278273739,0.9999999966132439
6,0.6741113394981442,0.10575400599691592,0.9999338930386481
6,0.66488164706281,0.10708035700645444,0.9999999966043988
6,0.6647794022292537,0.1078736742681443,0.9999999975657661
6,0.6753487974894934,0.10911383785407094,0.9999338930386481
7,0.8689141229273134,0.05290992530963076,0.9977130582906378
7,0.8635834888362727,0.052287679872544214,0.9999631583527576
7,0.893672339830582,0.04801764221822233,0.9999338930386481
7,0.9190033878182181,0.0480436497359572,0.9999339231824418
7,0.5583490493848658,0.040553862264230287,0.9999999972991109
7,0.9546786107442201,0.05107263771929889,0.9999339755226937
7,0.9175656151166395,0.060335976045124265,0.9999999973450957
7,0.8428038382407085,0.05894783786270358,0.9999999977570397
