subject_idx,delta1,delta2,hrate,nu_p
5,1.3160108865596902,3.8777220359195144,2.0002090871736218e-11,4.8116024957608206
5,1.508084072603689,3.8905459388170653,6.62932023355606e-05,4.999998706753522
5,1.228385396960601,3.4424602325750104,6.602284645420051e-05,4.999999999838762
5,1.3413699631278377,12.173659769068557,0.003917565997681568,4.591533200000207
6,6.138026738270216,10.816165155592497,0.024210828450397376,1.8560860341652003
6,5.354294301271354,9.211695004303563,0.025109590453836605,1.6659942020432807
6,6.5977825860841826,10.19162112446207,0.022921530865656566,1.967744671065977
6,6.193710194666451,10.210923045473061,0.02775918473982806,1.943897907497995
6,6.8510154831875285,9.566007516615901,0.01944455694906924,2.016413353691517
6,5.831607187057159,9.7297286235507,0.02532361581306078,1.8016998876211745
6,5.9921470071039264,9.74847943962974,0.028757227631458947,1.8799475293805865
6,7.999951380375363,10.696191449845251,0.017698957828406376,2.1710808819909158
6,6.653019597256946,10.30929050720931,0.019178041757045343,1.9044546802751552
6,6.578786891551114,11.086592714071955,0.02271307746126341,1.8654092881715834
6,6.2210227737577455,10.321657578696087,0.0206467616062421,1.7739674000507244
6,5.423439407706764,9.757412839982601,0.025370206277173186,1.7245998323956349
6,6.7890504208655,11.304659180431784,0.016280515252968544,1.854439027415562
6,6.501003388856572,10.256930063214476,0.019625085827969225,1.8509232965961389
6,6.016464806719867,9.805601413803998,0.02364781617682232,1.7644141305450225
7,5.7750003142006925,16.999999999733003,0.01501519106816933,4.999941210428838
7,4.691587957387586,16.999999997273765,0.011775580132906584,4.999972396857769
7,5.508913603502242,16.99999999975488,0.008504824456779702,4.999936652595845
7,4.883712101954045,16.99996496919815,0.00957212778621844,4.999999999999995
7,4.884715734435901,12.29444095848709,0.01736421732307018,4.999932264919195
7,4.88387165087117,13.40558943157173,0.016800008526017478,4.99993274004897
7,5.841879717912925,16.999941092605077,0.008310393275451241,4.999999998221916
7,5.011048067125665,12.794950728154134,0.015994275908716125,4.999880197421169
7,5.925751450703587,16.999941092605077,0.005871735170291057,4.999999999435913
7,5.480588398188997,16.99999252942693,0.00934414304830211,4.825245895873488
7,5.292079524658904,16.999941080732544,0.011069571122216716,4.999999997854913
7,5.933029303291494,15.605428438889893,0.020372872523681862,4.9999430391369035
7,6.323668404753499,16.99994109214507,0.013248348141707394,4.999999998538223
7,5.355064136300393,15.100400049170068,0.014664257242345486,4.999940167560379
7,4.89465879971841,16.426022686443993,0.016839689109638283,4.999992633691815
8,2.922500492394877,4.107842325200712,0.0386032304318193,3.8539573179871174
8,2.1911611620251863,15.616630443039867,0.03272459578443844,4.523018256728887
8,1.0100000003826834,6.374538578536777,0.03074595109472023,4.360595819483676
8,3.5434957870610164,8.980020747856386,0.03658140684985459,4.502035528974491
8,3.9044004413966777,9.650657976123885,0.038223491724311026,4.5114946408066245
8,1.0100000001950575,7.094540917810479,0.02434144550875975,4.13738702648344
8,5.619141174116625,2.3971952054185826,0.02909772068208614,4.99998869566554
8,5.064550189308138,3.296210084954799,0.04551529142503185,4.999997925644393
8,1.5439093618598105,6.144609320755725,0.05266291813140534,4.999999166432496
8,4.629110059774647,2.505913639572248,0.0432855517971342,4.999999999779402
8,5.690982177296512,2.46137207336404,0.037617469981732765,4.9999965086422895
8,7.829790225056327,1.010000017660739,0.006482786851078539,4.453501333008171
8,4.9313566948469685,2.365061641684452,0.04387151088869912,4.9999880680354245
8,4.672323426517308,2.4165365929184004,0.06084660827849744,4.999979444430136
8,4.246465156470736,2.998853956106899,0.06747677821285164,4.99997611453351
9,2.1250324764467434,2.6332992215124644,8.656851137659236e-07,4.126347817580852
9,4.275994212031166,4.675182775547365,0.04612297064510524,4.999993164389165
9,2.8093546404438037,3.902590358237495,0.04304799914012468,4.999984688837125
9,3.6836386986321217,2.9318666902427877,0.04024894006688159,4.999992470308467
9,1.7768522149912167,3.458336223958718,0.02595383460025166,4.821119905746183
9,2.0429461177927744,4.153054014848355,0.03471594282838677,4.959075440326584
9,3.907734574102415,1.8879217669165163,0.025618396482298186,4.999991974141511
9,4.786774732790433,2.329663473548477,0.029448665911140967,4.999999901231209
9,3.9571013227647125,2.9248679818758982,0.0388323881297208,4.999990454590522
9,1.802238569026763,4.333916682865678,0.03531837325425054,4.9998697896823
9,2.812502233375584,3.312929169294019,0.03208814316848584,4.9999872220155215
9,2.862149991426202,3.222508216923686,0.040009097432099024,4.999345277351426
9,1.5927568335700728,3.3740361677247543,0.016361309949008234,4.999997434809375
9,4.020441981388404,2.248243095978984,0.0377514877999555,4.999999999551565
