subject_idx,nu,kappa,omega
15,0.00010000088473635933,0.8205966103434896,-3.329416096482718
15,0.00010000637587047781,0.11379779845366114,-2.6722481743895576
15,0.00010001025864781306,0.21535559479240998,-2.730352251692937
16,0.00010000889733993636,0.2301656315102589,-2.1739383687067897
16,0.00010001025275119496,0.14077811639825044,-2.0568342740238688
16,0.00010000991601235865,0.010062695606247547,-1.913049739460779
16,0.00010000694106588321,0.2255205328576668,-2.1999563207508395
16,0.00010001537084822296,0.04626247590325878,-1.9530180173947094
16,5.2859317905606655,0.54118041031925,-2.750218170385242
16,0.00010001669224561889,0.010065255414970714,-1.922954656605424
16,0.00010001669224561887,0.12194381941308341,-2.0641339733196693
16,0.00010001615544561478,0.010065174624075145,-1.9504436680238464
16,0.00010000243536581468,0.2215615256335254,-2.2018982552564985
16,8.939365909798928,0.010000000025714951,-1.951291883544216
16,0.00010001538456868843,0.1326453985409339,-1.9897264928635963
16,0.00010000110184683272,0.09045878815459797,-2.0287693014140245
16,0.00010002364256224351,0.0334931659775859,-1.91489660612518
16,0.00010000243536581467,0.11098860590275171,-2.0300150288690073
17,0.00010000201299843318,0.3652629964626307,-2.166549319456399
17,0.0001000007866656419,0.033585412932745216,-1.8584225372962342
17,0.00016086691500195885,0.010001666745431884,-1.7889102069425997
17,0.00010000286360106303,0.48570221808395786,-2.275589032986273
17,8.109516826935755,0.010000000034088583,-1.91288947313371
17,0.00010000035452748744,0.07188428498895959,-1.9118197639822767
17,0.0002959517008358544,0.010001434348420345,-1.8437081641317403
17,0.0006429600662616766,0.3930553195376931,-2.169554721682672
17,0.00010000316598607426,0.32298979435122444,-2.0579944773019285
17,0.00016291337328127185,0.010001138002662344,-1.7340464308153134
17,9.999999999990004,0.010047733348607866,-1.8163594245715038
17,0.0001000017482061896,0.9719671951331318,-2.7949114330076297
17,1.4551125241417175,0.010000030574292645,-1.7470315646245094
17,0.00010002364256224351,0.051071050016671254,-1.7748660672149887
17,0.00010001031637514102,0.010065413310140938,-1.7467579604350776
18,0.00010001537602400846,0.06650474965269944,-4.76812587709142
18,0.00010000126791732052,0.03659742081952413,-4.828680731932292
18,0.00010001622070725117,0.05944788312246209,-4.8594532735017095
18,0.00010001599248501774,0.01005179400934581,-4.802962679436042
18,0.00010001537084822296,0.16678665575665436,-4.915178750786968
18,0.00010000319144829335,0.2009342548098886,-4.995208720769016
18,0.0001000054485831033,0.010068475162496822,-4.846795014599328
